timestamp,node_id,actual,predicted,error,absolute_error,squared_error
2026-05-06 02:31:51,Node_A,0.49,4.753333333333333,4.263333333333333,4.263333333333333,18.176011111111105
2026-05-06 02:31:51,Node_C,4.27,3.105,-1.1649999999999996,1.1649999999999996,1.357224999999999
2026-05-06 02:31:51,Node_D,5.72,3.01,-2.71,2.71,7.3441
2026-05-06 02:31:56,Node_A,0.585,4.954999999999999,4.369999999999999,4.369999999999999,19.096899999999994
2026-05-06 02:31:56,Node_C,4.55,3.175,-1.375,1.375,1.890625
2026-05-06 02:31:56,Node_D,5.765,3.228333333333333,-2.5366666666666666,2.5366666666666666,6.434677777777778
2026-05-06 02:32:01,Node_B,2.31,5.207777777777778,2.8977777777777782,2.8977777777777782,8.397116049382719
2026-05-06 02:32:01,Node_C,4.456666666666666,4.492222222222222,0.035555555555555785,0.035555555555555785,0.0012641975308642138
2026-05-06 02:32:01,Node_D,5.583333333333333,3.3833333333333333,-2.1999999999999997,2.1999999999999997,4.839999999999999
2026-05-06 02:32:06,Node_A,0.2966666666666667,3.7754999999999996,3.4788333333333328,3.4788333333333328,12.102281361111107
2026-05-06 02:32:06,Node_B,2.14,3.2981666666666665,1.1581666666666663,1.1581666666666663,1.341350027777777
2026-05-06 02:32:06,Node_C,4.4325,2.839666666666667,-1.592833333333333,1.592833333333333,2.537118027777777
2026-05-06 02:32:06,Node_D,5.7325,2.6883333333333335,-3.0441666666666665,3.0441666666666665,9.266950694444443
2026-05-06 02:32:11,Node_A,0.425,3.7843999999999998,3.3594,3.3594,11.28556836
2026-05-06 02:32:11,Node_B,2.11,3.3735999999999997,1.2635999999999998,1.2635999999999998,1.5966849599999995
2026-05-06 02:32:11,Node_C,4.462,2.9032,-1.5587999999999997,1.5587999999999997,2.4298574399999993
2026-05-06 02:32:11,Node_D,5.7780000000000005,2.7138,-3.0642000000000005,3.0642000000000005,9.389321640000002
2026-05-06 02:32:16,Node_A,0.302,3.779,3.477,3.477,12.089528999999999
2026-05-06 02:32:16,Node_B,2.1775,3.3040000000000003,1.1265,1.1265,1.2690022500000002
2026-05-06 02:32:16,Node_C,4.388,2.8619,-1.5261,1.5261,2.3289812100000002
2026-05-06 02:32:16,Node_D,5.764,2.6866,-3.0774000000000004,3.0774000000000004,9.470390760000003
2026-05-06 02:32:21,Node_A,0.28,3.6691999999999996,3.3891999999999998,3.3891999999999998,11.486676639999999
2026-05-06 02:32:21,Node_B,2.072,3.2416,1.1696,1.1696,1.3679641599999999
2026-05-06 02:32:21,Node_C,4.252,2.8056,-1.4463999999999997,1.4463999999999997,2.092072959999999
2026-05-06 02:32:21,Node_D,5.698,2.5856,-3.1124000000000005,3.1124000000000005,9.687033760000004
2026-05-06 02:32:26,Node_A,0.27,3.6519999999999997,3.3819999999999997,3.3819999999999997,11.437923999999997
2026-05-06 02:32:26,Node_B,2.042,3.268,1.226,1.226,1.5030759999999999
2026-05-06 02:32:26,Node_C,4.184,2.8396,-1.3444000000000003,1.3444000000000003,1.8074113600000008
2026-05-06 02:32:26,Node_D,5.808,2.5444,-3.2636,3.2636,10.651084959999999
2026-05-06 02:32:36,Node_A,0.208,3.6259999999999994,3.4179999999999993,3.4179999999999993,11.682723999999995
2026-05-06 02:32:36,Node_B,2.12,3.1588,1.0387999999999997,1.0387999999999997,1.0791054399999995
2026-05-06 02:32:36,Node_C,4.134,2.756,-1.3780000000000006,1.3780000000000006,1.8988840000000016
2026-05-06 02:32:36,Node_D,5.622,2.5431999999999997,-3.0788,3.0788,9.47900944
2026-05-06 02:32:46,Node_A,0.27,3.5748,3.3048,3.3048,10.92170304
2026-05-06 02:32:46,Node_B,2.062,3.1599999999999997,1.0979999999999999,1.0979999999999999,1.2056039999999997
2026-05-06 02:32:46,Node_C,4.08,2.7563999999999997,-1.3236000000000003,1.3236000000000003,1.7519169600000009
2026-05-06 02:32:46,Node_D,5.59,2.5108,-3.0791999999999997,3.0791999999999997,9.481472639999998
2026-05-06 02:32:51,Node_A,0.238,3.6647999999999996,3.4267999999999996,3.4267999999999996,11.742958239999997
2026-05-06 02:32:51,Node_B,2.162,3.1992,1.0372,1.0372,1.0757838399999997
2026-05-06 02:32:51,Node_C,4.159999999999999,2.7996,-1.3603999999999994,1.3603999999999994,1.8506881599999983
2026-05-06 02:32:51,Node_D,5.68,2.5763999999999996,-3.1036,3.1036,9.632332960000001
2026-05-06 02:33:01,Node_A,0.2079999999999999,3.253,3.0450000000000004,3.0450000000000004,9.272025000000003
2026-05-06 02:33:01,Node_B,2.0580000000000003,1.6213333333333333,-0.436666666666667,0.436666666666667,0.19067777777777806
2026-05-06 02:33:01,Node_C,4.448,0.8246666666666667,-3.623333333333334,3.623333333333334,13.128544444444449
2026-05-06 02:33:06,Node_A,0.2039999999999999,3.816399999999999,3.612399999999999,3.612399999999999,13.049433759999994
2026-05-06 02:33:06,Node_B,2.026,3.3299999999999996,1.3039999999999998,1.3039999999999998,1.7004159999999995
2026-05-06 02:33:06,Node_C,4.606,2.8139999999999996,-1.7920000000000003,1.7920000000000003,3.211264000000001
2026-05-06 02:33:06,Node_D,5.818,2.6935999999999996,-3.1244,3.1244,9.761875360000001
2026-05-06 02:33:11,Node_A,0.208,3.4250000000000003,3.217,3.217,10.349089000000001
